MASAŽITI, GLAGOL
ĐORAJUĆI, PRILOG
SLANUTAK, IMENICA
POVOLJNI, PRIDJEV
OSAMAREN, PRIDJEV
PLATONOV, PRIDJEV
KOLOSEUM, IMENICA
ŠPILJSKI, PRIDJEV
VALONEJA, IMENICA
TOLEDSKI, PRIDJEV
HEBREJAC, IMENICA
LAKATNIK, IMENICA
SRDITIJI, PRIDJEV
HINJENJI, PRIDJEV
PORIVNIK, IMENICA
ARIJANAC, IMENICA
BORONGAJ, IMENICA
MOTRILAC, IMENICA
SAŽALJIV, PRIDJEV
VIJALICA, IMENICA
TARZALNI, PRIDJEV
ŠVICARAC, IMENICA
ŠEZDESET, BROJ
ZAKOČITI, GLAGOL
ZNALAČKI, PRIDJEV
URLIKATI, GLAGOL
ESKAPIST, IMENICA
KOMETSKI, PRIDJEV
SFERIČAN, PRIDJEV
BATALJUN, IMENICA
ŠETAJUĆI, PRIDJEV
PRIMLJEN, PRIDJEV
ŠIRITELJ, IMENICA
POLENOZA, IMENICA
LEPTIRKA, IMENICA
LABIRINT, IMENICA
NADIGRAN, PRIDJEV
ENVELOPA, IMENICA
ISTRESEN, PRIDJEV
TALJIGAR, IMENICA
TELETEKS, IMENICA
EGLONSKI, PRIDJEV
KIŠOMJER, IMENICA
AUTOIMUN, PRIDJEV
GONETATI, GLAGOL
NIKOLINA, IMENICA
OŠAMUĆEN, PRIDJEV
POLUMRAK, IMENICA
STANARKA, IMENICA
SUVENIRA, IMENICA
OTAMNITI, GLAGOL
CRNOVRHI, PRIDJEV
PEROVOĐA, IMENICA
POTEŽUĆI, PRILOG
SKIERSKI, PRIDJEV
NAUŽIVŠI, PRILOG
ŠIPANSKI, PRIDJEV
CIPRANIN, IMENICA
REKVIZIT, IMENICA
JAROSTAN, PRIDJEV
PODJELNI, PRIDJEV
BATOVINA, IMENICA
JULIJSKI, PRIDJEV
APRETURA, IMENICA
ZAGASITI, PRIDJEV
NAČIČKAN, PRIDJEV
KANCELAR, IMENICA
DESETAČA, IMENICA
VRTJENJE, IMENICA
LUMBALAN, PRIDJEV
KORALJKA, IMENICA
NEPLAĆAN, PRIDJEV
SVALBARD, IMENICA
ACETILEN, IMENICA
MODRUŠKI, IMENICA
FITILJEN, PRIDJEV
PLAČANJE, IMENICA
HUTINSKI, PRIDJEV
ORACLEOV, PRIDJEV
SUVRATAK, IMENICA
GUSTERNI, PRIDJEV
JEZIVIJI, PRIDJEV
ALKANSKI, PRIDJEV
PATNIČKI, PRIDJEV
DREMPAČA, IMENICA
ODZRAČNI, PRIDJEV
ZAPITATI, GLAGOL
TEMPIRAN, PRIDJEV
NAORUŽAN, PRIDJEV
PRAUNUČE, IMENICA
OVAPNJEN, PRIDJEV
NEBRIJAN, PRIDJEV
STIGNUTI, GLAGOL
UZVRATNO, PRILOG
BAVARSKA, IMENICA
ČELIČEĆI, PRILOG
TURKOLOG, IMENICA
VINILSKI, PRIDJEV
NOVAČEĆI, PRIDJEV
PEDERSEN, IMENICA
ALAKANJE, IMENICA
OGRADITI, GLAGOL
KORABLJE, IMENICA
SOFIJKIN, PRIDJEV
ORKANSKA, IMENICA
MOGUĆOST, IMENICA
BUĆARSKI, PRIDJEV
RETINSKI, PRIDJEV
ONEMOGUĆ, PRIDJEV
PREMUDAR, PRIDJEV
RAZRANJE, IMENICA
OGULINAC, IMENICA
ŠLAMPAST, PRIDJEV
TOČKANJE, IMENICA
GENOFOND, IMENICA
PAČAJUĆI, GLAGOL
RAZARATI, GLAGOL
NEURITIS, IMENICA
ELEMENAT, IMENICA
SUSJEDNI, PRIDJEV
VIRGINIA, IMENICA
SPOZNAJE, IMENICA
ZATALJEN, PRIDJEV
GLAVAROV, PRIDJEV
PODERATI, GLAGOL
OOGENEZA, IMENICA
ZASTIĐEN, PRIDJEV
OBIČAVAN, PRIDJEV
CIJEPITI, GLAGOL
PEĆEVSKI, PRIDJEV
NEVOLJKO, PRILOG
REDUKTOR, IMENICA
PRITOČNI, PRIDJEV
OSMOTSKI, PRIDJEV
TIGARSKI, PRIDJEV
ATAVIZAM, IMENICA
MUTACIJA, IMENICA
SJEDANJE, IMENICA
CENTRALA, IMENICA
HAJDUČIN, IMENICA
TRAGIČAN, PRIDJEV
KARDINAL, IMENICA
SISOLSKI, PRIDJEV
IGNACIJA, IMENICA
NASIPANI, PRIDJEV
HRAKANJE, IMENICA
ZAČAĐENO, PRILOG
ATOMIZAM, IMENICA
USKOGRUD, PRIDJEV
POSTUPAN, PRIDJEV
IMENICOJ, IMENICA
VATMETAR, IMENICA
SESTRICA, IMENICA
OMEĐIVŠI, PRILOG
PRTLJAGA, IMENICA
LEKSIČKI, PRIDJEV
PRETIČAK, PRIDJEV
ZVUKOVAN, PRIDJEV
GRAKTALO, IMENICA
GUNĐANJE, IMENICA
POČIŠĆEN, PRIDJEV
TRUPKATI, GLAGOL
VESELICA, IMENICA
BOMBAŠKI, PRIDJEV
KLICALAC, IMENICA
ENDOGENI, PRIDJEV
SUTONSKI, PRIDJEV
DOTRAJAL, IMENICA
BLONDINA, IMENICA
SOKOVNIK, IMENICA
ISKRSAVA, PRIDJEV
NEGACIJA, IMENICA
NEOTESAN, PRIDJEV
KOPRANIN, IMENICA
IMPRESUM, IMENICA
BOSTONAC, IMENICA
POPRAVAK, IMENICA
KLAIĆEVA, IMENICA
PROMUKLO, PRILOG
KROJILAC, IMENICA
DUISBURG, IMENICA
TUČNJAVA, IMENICA
ŽDREBATI, IMENICA
PREBAHAT, PRIDJEV
GUARDIAN, IMENICA
OPTATIVE, IMENICA
ISCRPITI, GLAGOL
PREBIRAN, PRIDJEV
PRENAPET, PRIDJEV
STEGOVAN, PRIDJEV
POLAMATI, GLAGOL
RASPORAN, PRIDJEV
LOGIRATI, GLAGOL
HRABRIJA, IMENICA
MUDRIČIN, PRIDJEV
KAZNIONI, PRIDJEV
KARADŽIĆ, IMENICA
SPONTANO, PRILOG
HRVATINA, IMENICA
ODSPAVAN, PRIDJEV
DVOSATAN, PRIDJEV
STOŽASTI, PRIDJEV
MURJAČKI, PRIDJEV
VALONSKI, PRIDJEV
LOPTANJE, IMENICA
DORIČUĆI, PRIDJEV
BILJEŽAČ, IMENICA
PAPILOMA, IMENICA
ODVRAĆEN, PRIDJEV
KORMORAN, IMENICA
IZRUGATI, IMENICA
SASLUŠAN, PRIDJEV
ŠURJAČKI, PRIDJEV
TRSATSKI, PRIDJEV
BRAŠNITI, GLAGOL
ZATORNIK, IMENICA
DANDANAS, PRILOG
TRAČLJIV, PRIDJEV
SIDONSKI, PRIDJEV
ZATROVAN, PRIDJEV
PRASKAVI, PRIDJEV
PRETRČAN, PRIDJEV
PRETIČAK, IMENICA
DOLAZEĆI, PRIDJEV
PASANČEV, PRIDJEV
POVODNIK, IMENICA
LAŽLJIVO, PRILOG
SONDAŽNI, PRIDJEV
DOBIJATI, GLAGOL
ANĐELKIN, PRIDJEV
NOSAČICA, IMENICA
UKNJIŽEN, PRIDJEV
LIJEKOVI, IMENICA
REKORDER, IMENICA
STIŠLJIV, PRIDJEV
GLADNICA, IMENICA
IZVJEŠEN, PRIDJEV
OFFICEOV, PRIDJEV
UŠTEDITI, GLAGOL
POTROŠAN, PRIDJEV
POZITRON, IMENICA
NEMORATI, GLAGOL
SUSJEDOV, PRIDJEV
ČIMPANZA, IMENICA
JAKOVINA, IMENICA
MARGARET, IMENICA
BREKTATI, GLAGOL
IZBEČITI, IMENICA
NOMOGRAM, IMENICA
DRNDANJE, IMENICA
GLUPADAK, IMENICA
DOZVUČAN, PRIDJEV
ČESTITKA, IMENICA
KNJIŽEĆI, PRILOG
SEPTALNI, PRIDJEV
ISKRENJE, IMENICA
ODŠTEĆEN, PRIDJEV
ZAGRIJAN, PRIDJEV
DIMETOAT, IMENICA
PREKRITI, GLAGOL
DONOSEĆI, PRIDJEV
POJAVITI, GLAGOL
IZLUČENI, PRIDJEV
TERORIST, IMENICA
BUDVANIN, IMENICA
KOLORIST, IMENICA
IZGULJEN, PRIDJEV
POMORSKI, PRIDJEV
OPERUŠEN, PRIDJEV
POPLAŠEN, PRIDJEV
RAZLUČNI, PRIDJEV
ČAVLOVIĆ, IMENICA
BRZAJUĆI, PRILOG
POLIRANI, PRIDJEV
OROSIVŠI, PRILOG
NAJSLAĐI, PRIDJEV
PRIVIDNI, PRIDJEV
POKVAREN, PRIDJEV
NEVAŽEĆI, PRIDJEV
MARGARIN, IMENICA
ZADLANAK, IMENICA
SAZORITI, GLAGOL
ETHERNET, IMENICA
NEBOGLED, IMENICA
RUKAVINA, IMENICA
ODJENUTI, PRIDJEV
LUTRIJAŠ, IMENICA
ISKIDATI, GLAGOL
LJUBIČIĆ, IMENICA
PRILOŠKI, PRIDJEV
SKIJAVŠI, PRILOG
ZBRAJATI, GLAGOL
NAGONJEN, PRIDJEV
KOVRČICA, IMENICA
NADLEŽNO, PRILOG
ISUŠIVAN, PRIDJEV
UOSTALOM, PRILOG
LJUŠTINA, IMENICA
EPENTEZA, IMENICA
VODITELJ, IMENICA
INTERMEC, IMENICA
POVUČENO, PRILOG
KOŽUSITI, GLAGOL
PRELIVŠI, PRILOG
NAJPLIĆI, PRIDJEV
PODNAJAM, IMENICA
KOSNUVŠI, PRILOG
APLIKATA, IMENICA
ODVAGATI, GLAGOL
BODUJUĆI, PRILOG
DOMAĆICA, IMENICA
GOLUBLJI, PRIDJEV
UZBUDITI, GLAGOL
CINKAROŠ, IMENICA
ANOZMIJA, IMENICA
MUZEJSKI, PRIDJEV
IMITATOR, IMENICA
VODOMEĐA, IMENICA
FULLEREN, IMENICA
ABLACIJA, IMENICA
PODBRATI, GLAGOL
JUROVSKI, PRIDJEV
NADLUGAR, IMENICA
ZEMUNIKA, IMENICA
UČILIŠNI, PRIDJEV
ROMANTIK, IMENICA
ŠKOLANJE, IMENICA
VREDNOĆA, IMENICA
SMRSKATI, GLAGOL
BUŽINSKI, PRIDJEV
SUPREMUM, IMENICA
ZARADITI, GLAGOL
NATOČENO, PRILOG
DOJMLJEN, PRIDJEV
SVINUVŠI, PRILOG
VRŠALICA, IMENICA
SOČIVICA, IMENICA
MRŠAVITI, GLAGOL
ANŽELIKA, IMENICA
BEGONIJA, IMENICA
PROUČITI, GLAGOL
POTVRDAN, PRIDJEV
TANDRKAV, PRIDJEV
STRANČEV, PRIDJEV
IRAČANIN, IMENICA
PROZVATI, GLAGOL
PRESUDNI, PRIDJEV
JAZAVČAR, IMENICA
SLUPAVŠI, PRILOG
TRENUVŠI, PRILOG
NAFTALIN, IMENICA
KRLEŽINA, IMENICA
ŠEVARSKI, PRIDJEV
ŠTIRKATI, GLAGOL
KAJACITI, GLAGOL
OŠIŠAVŠI, PRILOG
TRINOMNI, PRIDJEV
DVOTOČJE, IMENICA
RAZNOLIK, PRIDJEV
FILIPIKA, IMENICA
HOTELČIĆ, IMENICA
NAPLATIV, PRIDJEV
TIMARITI, GLAGOL
GRAKĆUĆI, PRILOG
LUMBALNI, PRIDJEV
BAŠĆANKA, IMENICA
LOMITELJ, IMENICA
ODRASTAO, PRIDJEV
ISTEZATI, GLAGOL
SLOJEVIT, PRIDJEV
POSVETAN, PRIDJEV
ZAROBITI, GLAGOL
LEPTOSOM, IMENICA
DEŠKOVIĆ, IMENICA
PORUČITI, GLAGOL
ZBRISATI, GLAGOL
IZOPERMA, IMENICA
DIRIGENT, IMENICA
OBČUVATI, GLAGOL
HVATANJE, IMENICA
PAPRATAK, IMENICA
CAROLANS, IMENICA
OČARAVAN, PRIDJEV
KERENSKI, PRIDJEV
NAPADNUT, PRIDJEV
ODMETITI, GLAGOL
PEGLANJE, IMENICA
ZBIVANJE, IMENICA
PLAMIŠTE, IMENICA
DUALIZAM, IMENICA
POTONULI, PRIDJEV
ŠKROPITI, GLAGOL
POMRLITI, GLAGOL
GAVRANIĆ, IMENICA
POVRŠITI, GLAGOL
ĆAKULATI, GLAGOL
ODVEZATI, GLAGOL
CEPTJETI, GLAGOL
PJEŠČARA, IMENICA
OVIKNUTI, GLAGOL
POŠTAPAN, PRIDJEV
UŽIVJETI, GLAGOL
SRUBLJEN, PRIDJEV
MATURITI, GLAGOL
UMILNOST, IMENICA
NADNEVAK, IMENICA
UDISAJNI, PRIDJEV
SVEUDILJ, IMENICA
KOREKTUR, IMENICA
KOLAČINA, IMENICA
SVARLJIV, PRIDJEV
PREGIBAN, PRIDJEV
KORINSKI, PRIDJEV
KINITELJ, IMENICA
ILEGALNO, PRILOG
LAURINOV, PRIDJEV
IZLAGANI, PRIDJEV
BIJESNIK, IMENICA
FAKINSKI, PRIDJEV
PROBUĐEN, PRIDJEV
LESONITI, GLAGOL
MARFANOV, PRIDJEV
ZADIHATI, GLAGOL
KENTAURA, IMENICA
ZAKLOPNI, PRIDJEV
BARITRON, IMENICA
SKULPTUR, IMENICA
MONENZIN, IMENICA
POMPEJEV, IMENICA
VATINSKI, PRIDJEV
POSTAVŠI, PRILOG
SUSPREĆI, GLAGOL
ODBORSKI, PRIDJEV
OBAVEZAN, PRIDJEV
CIKNUVŠI, PRILOG
ADENITIS, IMENICA
ALKALOZA, IMENICA
AMBICIJA, IMENICA
UBITAČNO, PRILOG
JEŽEVINA, IMENICA
BETLEHEM, IMENICA
OTUĐIVAN, PRIDJEV
SREDNJAK, IMENICA
OSUĐIVAN, PRIDJEV
SKUČIVŠI, PRILOG
JAJNIČNI, PRIDJEV
GOREVINA, IMENICA
OBRADIVI, IMENICA
PRASTARI, IMENICA
ZAKARTAN, PRIDJEV
UMOČIVŠI, IMENICA
NAVLAŽEN, PRIDJEV
MEĐUOSNI, PRIDJEV
POLJUPAC, IMENICA
OBLONSKI, PRIDJEV
NESVEZNO, PRILOG
DOGRADAK, IMENICA
KOLJUŠKA, IMENICA
ISPUŠNIK, IMENICA
UTROBICA, IMENICA
OBIJANJE, IMENICA
GROMADAN, PRIDJEV
ZATAJITI, GLAGOL
URESIVŠI, PRILOG
ROBOTSKI, PRIDJEV
ZELENJEN, PRIDJEV
PRIGORAK, PRIDJEV
OŽIVLJEN, PRIDJEV
MEMLJIVI, PRIDJEV
PEĆINAST, PRIDJEV
TIROIDNI, PRIDJEV
REMETSKI, PRIDJEV
IZOTERMI, PRIDJEV
MAČUJUĆI, PRILOG
PRIMIRJE, IMENICA
PROFILNI, PRIDJEV
DEMIJURG, IMENICA
GRUBIJAN, IMENICA
NAZUBITI, GLAGOL
UTAKMICA, IMENICA
PRENIZAK, PRIDJEV
OTISNUĆE, IMENICA
POLJEVAČ, IMENICA
VRELAŠCE, IMENICA
MEKŠANJE, IMENICA
KUNJKARA, IMENICA
POKRETNO, PRILOG
ŠKRILJAV, PRIDJEV
POVRAĆAN, PRIDJEV
OTPILITI, GLAGOL
FUNGOZAN, PRIDJEV
LAMAIZAM, IMENICA
RESIČAST, PRIDJEV
BRANIMIR, IMENICA
ČERKESKI, PRIDJEV
UPROŠTEN, PRIDJEV
ISKAPITI, GLAGOL
ODRAZITI, GLAGOL
DRVARINA, IMENICA
SPIKULIT, IMENICA
SMRZLITI, GLAGOL
SAPUNATI, GLAGOL
UNIKATNI, PRIDJEV
KRSTITKA, IMENICA
BOLNIČKI, PRIDJEV
MOTOKLUB, IMENICA
UGUŠIVŠI, PRILOG
TETRALIN, IMENICA
STOŽERAN, PRIDJEV
LITRENKA, IMENICA
USPONSKI, PRIDJEV
ARCHAISM, IMENICA
ŠTITASTI, PRIDJEV
NESVRŠEN, PRIDJEV
LAKNUVŠI, PRILOG
GORLJIVI, PRIDJEV
NAGIBATI, GLAGOL
NAJLAKŠI, PRIDJEV
MAGLIČAV, PRIDJEV
POBOŽNIK, IMENICA
DIVOVSKI, PRIDJEV
GALANTAR, IMENICA
CESTOVNI, PRIDJEV
SULTANAT, IMENICA
AGLIKONI, IMENICA
ATHEZIJA, IMENICA
NALUPATI, GLAGOL
PLAVOKOS, PRIDJEV
RASTRGAN, PRIDJEV
SKAKUTAV, PRIDJEV
CUPKANJE, IMENICA
IZIGRANA, IMENICA
KIRETAŽA, IMENICA
KOTRLJAN, PRIDJEV
PRAŠENJE, IMENICA
STOPIVŠI, PRILOG
BOLJITAK, IMENICA
RAZLIČIT, PRIDJEV
ĐIPAJUĆI, PRIDJEV
ZAMOČENO, PRILOG
ASTROLOG, IMENICA
UTRIRATI, GLAGOL
ZASIJATI, GLAGOL
LAŽIRATI, GLAGOL
SLIJEVNI, PRIDJEV
NARAVSKI, PRIDJEV
BRADVITI, IMENICA
UPETLJAN, PRIDJEV
SKOPČATI, GLAGOL
GLORIJIN, PRIDJEV
ŠKAPULAR, IMENICA
DOJAHATI, GLAGOL
GIGABAJT, IMENICA
KOČAREĆI, PRILOG
TOBOŽNJI, PRIDJEV
VRISNUTI, GLAGOL
UVRTANJE, IMENICA
KUCAJUĆI, PRILOG
NADZORNI, PRIDJEV
UGLJIČAN, PRIDJEV
ZAGUBITI, GLAGOL
HLADNOĆA, IMENICA
SOLNJAČA, IMENICA
KLIJETKA, IMENICA
OTPUŠTAN, PRIDJEV
OPRESIJA, IMENICA
OPTIMATI, IMENICA
ROMONITI, IMENICA
ZACRNITI, GLAGOL
MITNIČAR, IMENICA
PORTAFON, IMENICA
PORUČATI, GLAGOL
KOLAJUĆI, PRILOG
BROZOVIĆ, IMENICA
UČMALOST, IMENICA
KUČICITI, GLAGOL
UOPĆIVŠI, PRILOG
MAZALICA, IMENICA
UDAVLJEN, PRIDJEV
ULAGANJE, IMENICA
HODALICA, IMENICA
NEOMETAN, PRIDJEV
JUNIJSKI, PRIDJEV
ISCKRCAN, PRIDJEV
ČETOVOĐA, IMENICA
PRADAVAN, PRIDJEV
ZBLENUTI, GLAGOL
GRADIŠĆE, IMENICA
IZGORIVI, PRIDJEV
UPALJENO, PRILOG
OSORNOST, IMENICA
GABONSKI, PRIDJEV
ZADRTATI, GLAGOL
BUKOVČEV, PRIDJEV
KAZALJKA, IMENICA
JEDAMPUT, PRILOG
PRESTATI, GLAGOL
PRUGAVAC, IMENICA
CIGARLUK, IMENICA
TALJENJE, IMENICA
OTRGAVŠI, PRILOG
ISTINITO, PRILOG
PREDZIĐE, IMENICA
BORNHOLM, IMENICA
CITIRATI, GLAGOL
HVALIVŠI, PRILOG
CISTIČNO, PRILOG
KULTIVAR, IMENICA
EGZAKTNO, PRILOG
TREPTITI, GLAGOL
TAMANEĆI, PRILOG
POKAKATI, GLAGOL
PODUŽITI, GLAGOL
SILANOLI, IMENICA
IZMIČUĆI, PRIDJEV
GOLOVRAT, PRIDJEV
NESRETAN, PRIDJEV
ZAMRZITI, GLAGOL
SLJUBITI, GLAGOL
OTKUPITI, GLAGOL
BOSUTSKI, PRIDJEV
FORUMSKI, PRIDJEV
PRAVEDNO, PRILOG
PRIPAVŠI, PRILOG
ODRONITI, GLAGOL
GORETATI, GLAGOL
POTREBNO, PRILOG
SANACIJA, IMENICA
SRLJANJE, IMENICA
TAKMIČAR, IMENICA
PODRAČUN, IMENICA
NADOHVAT, PRIJEDLOG
NARICATI, GLAGOL
ŠVIGANJE, IMENICA
SAFNJITI, GLAGOL
KOSAJUĆI, PRILOG
SERENADA, IMENICA
KIPARSKI, PRIDJEV
PRINUDAN, PRIDJEV
IZUČIVŠI, PRILOG
MONOKSID, IMENICA
MANILSKI, PRIDJEV
VELIČATI, GLAGOL
HERODOTA, IMENICA
OMOTAVŠI, PRILOG
PRIJEĐEN, PRIDJEV
SFERIČNI, PRIDJEV
ZARUŠITI, GLAGOL
RACEMSKI, PRIDJEV
SPREMITI, GLAGOL
DANILSKI, PRIDJEV
ODVALITI, GLAGOL
KALUPITI, IMENICA
KUBANSKI, PRIDJEV
BOSANICA, IMENICA
LIPOLIZA, IMENICA
ULJARSKI, PRIDJEV
UZVOJITO, PRILOG
SLETIVŠI, PRILOG
KOZMIČKI, PRIDJEV
NESPOJEN, PRIDJEV
DROPULIĆ, IMENICA
RAZVOĐEN, PRIDJEV
PRIČLJIV, PRIDJEV
HIROVITO, PRILOG
LJEVIČAR, IMENICA
ZACRTATI, GLAGOL
UDOVIČIĆ, IMENICA
EMULIRAN, PRIDJEV
INVENTAR, IMENICA
KVOTIRAN, PRIDJEV
MANDARIN, IMENICA
OBAVIVŠI, PRILOG
AGENTURA, IMENICA
TAVORITI, GLAGOL
IZVRŠITI, GLAGOL
ŠIFRIRAN, PRIDJEV
JUHOPIJA, IMENICA
PEČENICA, IMENICA
TERNALAN, PRIDJEV
USPOMENE, IMENICA
PLANIRAN, PRIDJEV
BATINATI, GLAGOL
GRABOVAC, IMENICA
PALAGRUŽ, IMENICA
STRANICA, STRANICA
HASANČIĆ, IMENICA
NESUDSKI, PRIDJEV
SLOBODAN, IMENICA
LIGURSKI, PRIDJEV
PRESVLAK, PRIDJEV
OPATSTVO, IMENICA
VIROVATI, GLAGOL
VREMENIT, PRIDJEV
PRIHODIN, PRIDJEV
TRUĐENJE, IMENICA
PAVLOVIĆ, IMENICA
POZIVATI, GLAGOL
POKRIVAČ, IMENICA
MORFONEM, IMENICA
KOTIRATI, GLAGOL
TRESNUTI, GLAGOL
OGAVNIJI, PRIDJEV
POVISITI, GLAGOL
KLOKANOV, PRIDJEV
PRISUTAN, PRIDJEV
SLUČAJAN, PRIDJEV
HEKSAGON, IMENICA
SVRDLATI, GLAGOL
DUPINSKI, PRIDJEV
LIZALICA, IMENICA
ŠINTERAJ, IMENICA
OTEKLINA, IMENICA
IZRIGATI, GLAGOL
MOLJAKAN, PRIDJEV
SALZBURG, IMENICA
PORAZITI, GLAGOL
STERILAN, PRIDJEV
PATROLNI, PRIDJEV
ZGARIŠTE, IMENICA
ALBINSKI, PRIDJEV
KRAJNICI, IMENICA
MLITAVAC, IMENICA
NARJEČJE, IMENICA
ISKITITI, GLAGOL
STUDENJE, IMENICA
TOVARNJE, IMENICA
PREPLATA, IMENICA
MUČITELJ, IMENICA
PAPUČICA, IMENICA
POTEPSTI, GLAGOL
SJEVERNI, PRIDJEV
NERODICA, IMENICA
NEBULOZA, IMENICA
MALENOST, IMENICA
ČAVLJENI, PRIDJEV
SULTANOV, PRIDJEV
GUŠTANJE, IMENICA
RADIVOJE, IMENICA
UHVATITI, GLAGOL
IZMIRSKI, PRIDJEV
SPLOŠTEN, PRIDJEV
GAVRANOV, PRIDJEV
PUTELJAK, IMENICA
MESINSKI, PRIDJEV
MIMOGRED, IMENICA
USLOJENI, PRIDJEV
ŠUMARSKI, PRIDJEV
UBRZANJE, IMENICA
ZRCALITI, GLAGOL
UZGREDAN, PRIDJEV
OLIŽNICA, IMENICA
FAULIRAN, PRIDJEV
NATUŠTEN, PRIDJEV
NAJAMNIK, IMENICA
METLJIKA, IMENICA
ZVUČNOST, IMENICA
PODRAŽAJ, IMENICA
FERENČAK, IMENICA
HEROIČAN, PRIDJEV
PRERADBA, IMENICA
UTVRDICA, IMENICA
BUKOVSKI, PRIDJEV
SPECIZAM, IMENICA
KAMERMAN, IMENICA
UŽEGLOST, IMENICA
PODAVITI, GLAGOL
PLJOSNAT, PRIDJEV
UBITAČAN, PRIDJEV
UPRAVITI, GLAGOL
CITOLIZA, IMENICA
KRALJIĆI, PRIDJEV
NASLOŽNI, PRIDJEV
OPRAVITI, GLAGOL
GRADIŠKI, PRIDJEV
CRVENOOK, PRIDJEV
ZMIJANAC, IMENICA
KISELEĆI, PRILOG
PJEŠČANI, PRIDJEV
TRAVERZA, IMENICA
HELIKTIT, IMENICA
KONČANIK, IMENICA
ROMORITI, GLAGOL
BENKOVAC, IMENICA
RASTEZAN, PRIDJEV
ARTIČOKA, IMENICA
VOLUJSKI, PRIDJEV
PRIJEVOJ, IMENICA
NEĆKANJE, IMENICA
GNJAVITI, GLAGOL
ALTAISKI, PRIDJEV
AKADEMAC, IMENICA
SPISKATI, GLAGOL
ZASUŠITI, GLAGOL
DUHANSKI, PRIDJEV
RANŽIRNI, PRIDJEV
NEUHODAN, PRIDJEV
OLAJAVAN, PRIDJEV
IZVJESNI, PRIDJEV
IZBJEŽIV, PRIDJEV
GLINENAC, IMENICA
OZEBLINE, IMENICA
TALOŽEĆI, PRILOG
IZAZVATI, GLAGOL
IZROVANI, PRIDJEV
PREKOPAN, PRIDJEV
ODSISNIK, IMENICA
CRNKINJA, IMENICA
SMOČENJE, IMENICA
SUPROTNO, PRILOG
IZGRISTI, GLAGOL
DOLIČITI, GLAGOL
BASIRATI, GLAGOL
OPSKRBNI, PRIDJEV
BORETATI, GLAGOL
NAMJESNI, PRIDJEV
BJELOLIK, PRIDJEV
TROSOBAN, PRIDJEV
TURNEROV, PRIDJEV
HIGIJENA, IMENICA
ESTRILDA, IMENICA
ISKEZITI, GLAGOL
ŠTOVANJE, IMENICA
TAVANSKI, PRIDJEV
DVOŽILAN, PRIDJEV
TRGNUVŠI, PRILOG
OBDUCENT, IMENICA
GRUDVAST, PRIDJEV
VESELIJE, PRILOG
SERVLETS, KRATICA
PREJESTI, GLAGOL
KAROLINA, IMENICA
UŠMINKAN, PRIDJEV
PRIMORKA, IMENICA
ČAPLJINA, IMENICA
STRUSITI, GLAGOL
PRIJANOV, PRIDJEV
POŽDERUS, IMENICA
SPLASNUO, PRIDJEV
PRILAGAČ, IMENICA
OBZIRATI, GLAGOL
ŠUGAVIJI, PRIDJEV
TEKUĆINA, IMENICA
HLADOVOJ, PRIDJEV
OTUPLJEN, PRIDJEV
ODŠTETNI, PRIDJEV
ŠIAULIAI, KRATICA
MEĐAŠNJI, PRIDJEV
AVIONIKA, IMENICA
ODBACIVI, PRIDJEV
ODŠARATI, GLAGOL
GOTOVČEV, PRIDJEV
SJEDEĆKA, IMENICA
OBREDATI, GLAGOL
DOSTAVAN, PRIDJEV
UKORIVŠI, PRILOG
NAJVEĆMA, IMENICA
ODVABITI, GLAGOL
ZELENITI, GLAGOL
DRVARSKI, PRIDJEV
GALEŠITI, GLAGOL
PONADATI, GLAGOL
ISKALITI, GLAGOL
SUVRATNI, PRIDJEV
ZATVARAN, PRIDJEV
POSINITI, GLAGOL
OVRŠENIK, IMENICA
SKRADINA, IMENICA
GRAĐANIN, IMENICA
DRAMOLET, IMENICA
ZASIJANI, PRIDJEV
PROVIDNI, PRIDJEV
CRVENJEN, PRIDJEV
NANJEVŠI, PRILOG
FUMIGANT, IMENICA
LIMFOKIN, IMENICA
PIŠTANJE, IMENICA
JEZIČAVO, PRILOG
IZMJEREN, PRIDJEV
PUKOTINA, IMENICA
ĆUKAVICA, IMENICA
DIATOMIT, IMENICA
NEŠTETAN, PRIDJEV
POGONITI, GLAGOL
LATINSKI, PRIDJEV
AMIKACIN, IMENICA
KLINCEZA, IMENICA
ZASTARIO, PRIDJEV
JEZOVITO, PRILOG
RELIGIJI, PRIDJEV
KOMADIĆI, PRIDJEV
ZAKAZANI, PRIDJEV
KONJUGAT, IMENICA
PROŽIMAN, PRIDJEV
CMOKANJE, IMENICA
GALIČAST, PRIDJEV
FAZONSKI, PRIDJEV
ZIMBABVE, IMENICA
NECILJNI, PRIDJEV
IZRAZITI, PRIDJEV
MIROVINA, IMENICA
DOTACIJA, IMENICA
PEKARIJA, IMENICA
ČOVJEČNO, PRILOG
DECENIJI, PRIDJEV
VALJAČKI, PRIDJEV
OKOŠTALI, PRIDJEV
PULJANKA, IMENICA
ISKAZATI, GLAGOL
ANOSTOZA, IMENICA
BORAVITI, GLAGOL
OTUĐENJE, IMENICA
UBADANJE, IMENICA
PUPOLJAK, IMENICA
PRIBIJEN, PRIDJEV
ISKUŠATI, GLAGOL
ENGLESKA, IMENICA
ENGLESKO, PRILOG
RATARSKI, PRIDJEV
APELATIV, IMENICA
DONOSEĆI, PRILOG
FARMERKA, IMENICA
PRAMENJE, IMENICA
ZARZAVŠI, PRILOG
LIJEGATI, GLAGOL
VIDEOFON, IMENICA
