SPREMAN, PRIDJEV
LOVNIKA, IMENICA
RASKRIT, PRIDJEV
VISJETI, GLAGOL
KRSTIĆI, PRIDJEV
KUNOSKI, PRIDJEV
NIVOKAZ, IMENICA
PRASKAN, PRIDJEV
KIRUŠKI, IMENICA
NAZIRAN, PRIDJEV
MEGAFON, IMENICA
ČOKOLIĆ, IMENICA
LUTKAST, PRIDJEV
UNISIST, IMENICA
UREKNUT, PRIDJEV
PAŽLJIV, PRIDJEV
GIGABIT, IMENICA
NASTRTA, IMENICA
PADRAIC, IMENICA
GORIŠTE, IMENICA
PILENCE, IMENICA
ČANČICA, IMENICA
DRPNUTI, GLAGOL
BENZOAT, IMENICA
PODLJEV, IMENICA
POSAVEC, IMENICA
SABOTER, IMENICA
PHILIPS, IMENICA
NEURBAN, PRIDJEV
CILJANI, PRIDJEV
KASPAZE, IMENICA
OVISNIK, IMENICA
SRKANJE, IMENICA
EKSTAZA, IMENICA
NARCISA, IMENICA
JEČMENI, PRIDJEV
NAKARAD, IMENICA
CMOKATI, IMENICA
LOŽENJI, PRIDJEV
LUŽARKA, IMENICA
PRZNICA, IMENICA
EJEZGRA, IMENICA
RISNJAK, IMENICA
PJEGAST, PRIDJEV
ODOZDOL, IMENICA
KUTRITI, GLAGOL
IZVIKAN, PRIDJEV
DOTOČEN, PRIDJEV
AEROGEL, IMENICA
OSTAVŠI, PRILOG
IDEALNI, PRIDJEV
LOPATAR, IMENICA
IZREŽEJ, IMENICA
TULUMAN, PRIDJEV
KAPSULA, IMENICA
BIBLIJA, IMENICA
ETNIČKI, PRIDJEV
PARTIHL, IMENICA
BRANJIV, PRIDJEV
MOLJITI, GLAGOL
CINIČKI, PRIDJEV
ZALOŽEN, PRIDJEV
LIVREJI, PRIDJEV
ANEMONA, IMENICA
ZANESEN, PRIDJEV
ZGURATI, GLAGOL
PAPRITI, GLAGOL
STEZNIK, IMENICA
UHOLAŽA, IMENICA
PEUGEOT, IMENICA
NEČITKO, PRILOG
UBODENI, PRIDJEV
ILIJADA, IMENICA
SUČEONI, PRIDJEV
KLIŠITI, GLAGOL
IRIDOID, IMENICA
BEKRIJA, IMENICA
TOKAMAK, IMENICA
KLJUSIN, IMENICA
ODIGNUT, PRIDJEV
TRUBAST, PRIDJEV
POVUČEN, PRIDJEV
JAVORJI, PRIDJEV
DUHVATI, GLAGOL
ŠKORNJA, IMENICA
TJESNAC, IMENICA
RIZIČNO, PRILOG
PLAVŠIĆ, IMENICA
GRUPIJA, IMENICA
SMEKŠAN, PRIDJEV
KALIBAR, IMENICA
ZAMETNI, PRIDJEV
DVERITI, GLAGOL
DOGOVOR, IMENICA
KATEDAR, IMENICA
AMETIST, IMENICA
PRANJIĆ, IMENICA
KOMADIN, PRIDJEV
JALOVAC, IMENICA
AUSTRIA, IMENICA
DOBRANI, PRIDJEV
ZEMIČKI, PRIDJEV
TITLATI, IMENICA
PRERAST, PRIDJEV
TOPONIM, IMENICA
FIJAČKO, PRIDJEV
GUŠARKA, IMENICA
ČEDNIJI, PRIDJEV
MONAŠKI, PRIDJEV
GURAVAC, IMENICA
TRIŠLJA, IMENICA
BUJIČNI, PRIDJEV
GORANKA, IMENICA
ĆILIBAR, IMENICA
LUCIANO, IMENICA
KASETAN, PRIDJEV
VIČNOST, IMENICA
VJEŽBAN, PRIDJEV
ZAVIČAJ, IMENICA
LASTOVO, IMENICA
BRENDAN, IMENICA
DOKLATI, GLAGOL
PAZUŠAC, IMENICA
KOSINJI, PRIDJEV
RETORTA, IMENICA
BROSKVA, IMENICA
MIRJANA, IMENICA
POMISAO, IMENICA
DAVNICA, IMENICA
MIRANDA, IMENICA
GLASILO, IMENICA
FISURNI, PRIDJEV
GLEŽANJ, IMENICA
ĆUNJAST, PRIDJEV
NAPADNO, PRILOG
PRETEČA, IMENICA
KETCHUP, IMENICA
PENJUĆI, PRIDJEV
ŠNAJDER, IMENICA
PROBDIJ, IMENICA
UKRASTI, GLAGOL
BONAIRE, IMENICA
MIOPIJA, IMENICA
LEDOMAT, IMENICA
TRUDEĆI, PRILOG
VATRENI, PRIDJEV
UHVAĆEN, PRIDJEV
POSTIĆI, GLAGOL
UMIVATI, GLAGOL
GIBANJE, IMENICA
FALANGA, IMENICA
OTOPITI, GLAGOL
CERAMID, IMENICA
GAUSOVI, PRIDJEV
GAVRITI, GLAGOL
ĆUDLJIV, PRIDJEV
KOMPLOT, IMENICA
PORILUK, IMENICA
IZNUREN, PRIDJEV
TELEPAT, IMENICA
NABUBAN, PRIDJEV
UNOSEĆI, PRILOG
MAJETIĆ, IMENICA
OSOJNIK, IMENICA
OBUČENA, IMENICA
FORINTA, IMENICA
OSPORIV, PRIDJEV
ISTRIĆI, GLAGOL
CAKLEĆI, PRILOG
EFEDRIN, IMENICA
ASCITES, IMENICA
BLATEĆI, PRILOG
CIGLAST, PRIDJEV
LEGIRAN, PRIDJEV
UGRUVAN, PRIDJEV
DOVEČER, PRILOG
BANIČIN, IMENICA
DOPPLER, IMENICA
ŠERIFOV, PRIDJEV
OBAVEZE, IMENICA
CJEVAST, PRIDJEV
ODTKANI, PRIDJEV
RZEPSKI, PRIDJEV
ŠOKAČKI, PRIDJEV
TRIANGL, IMENICA
PREZIME, IMENICA
GROZDIĆ, IMENICA
POŽARNI, PRIDJEV
POTICAN, PRIDJEV
SVIJEST, IMENICA
RUHRSKI, PRIDJEV
PRVOTNI, PRIDJEV
PRKOŠEN, PRIDJEV
ARIJSKI, PRIDJEV
FRAKTAL, IMENICA
EKIPAŽA, IMENICA
ARSENIK, IMENICA
USLUŽNO, PRILOG
IZAŽETI, GLAGOL
KRAPINA, IMENICA
JASIČAK, IMENICA
HOSTIJA, IMENICA
IZOPREN, IMENICA
INERTNI, PRIDJEV
AMERIKA, IMENICA
ŠEPAVAC, IMENICA
JESICCA, IMENICA
SATSUMA, IMENICA
BETONIT, IMENICA
CVILEĆI, PRILOG
MIGRANT, IMENICA
ZGUŽVAN, PRIDJEV
ČAROBAN, PRIDJEV
NESUKAN, PRIDJEV
TOPUSKI, PRIDJEV
TRAGATI, GLAGOL
DVORANA, IMENICA
SINGLET, IMENICA
ZEZANJE, IMENICA
UPERITI, GLAGOL
UKRIŽEN, PRIDJEV
ČAROBNI, PRIDJEV
MANEKEN, IMENICA
KADENCA, IMENICA
ISTEKLI, PRIDJEV
SIJAMAC, IMENICA
IŠČESTI, GLAGOL
NATISNI, PRIDJEV
KREIRAN, PRIDJEV
ROGULJA, IMENICA
LJENIJI, PRIDJEV
ISHABAN, IMENICA
OPREZAN, PRIDJEV
LATINAC, IMENICA
NARTEKS, IMENICA
BOJOVIT, PRIDJEV
OGRLITI, GLAGOL
VRGAVŠI, PRILOG
PAMPASI, IMENICA
ŠUKNUTI, GLAGOL
BALONAR, IMENICA
AKRILIK, IMENICA
KIŠENJE, IMENICA
LAGVIĆA, PRIDJEV
PRETUĆI, GLAGOL
SKRANJE, IMENICA
ZALISCI, IMENICA
POBRATI, GLAGOL
HLJEBAR, IMENICA
POTONJI, PRIDJEV
KUHAROV, PRIDJEV
PODGRAF, IMENICA
NESREĆA, IMENICA
DVOSJED, IMENICA
PRGAVAC, IMENICA
VODAFON, IMENICA
NAJAVNI, PRIDJEV
DRHTATI, GLAGOL
ULJUDBA, IMENICA
VITALAN, PRIDJEV
KUĆERAK, IMENICA
TAKOĐER, PRILOG
LABINAC, IMENICA
TERENCE, IMENICA
NEUDATA, IMENICA
STUPICA, IMENICA
HVATSKI, PRIDJEV
KREOLAC, IMENICA
BAZALNO, PRILOG
SELIDBA, IMENICA
OBRISAN, PRIDJEV
CIMETNI, PRIDJEV
KANDHAR, IMENICA
MILAČIĆ, IMENICA
SORDINA, IMENICA
ŠIPURAK, IMENICA
POTANJI, PRIDJEV
PARAZIT, IMENICA
BATIJAL, IMENICA
ISKRICA, IMENICA
ABLATIV, IMENICA
TUČENJE, IMENICA
HIDRIDI, IMENICA
MLADINA, IMENICA
SIROVIT, PRIDJEV
ŠTEDIJA, IMENICA
TOPLIJE, PRILOG
TRAJUĆI, PRILOG
CROSSOV, PRIDJEV
ČAGLJIV, PRIDJEV
MEZANIN, IMENICA
UZDANJE, IMENICA
SLOŽITI, GLAGOL
PRANŠKI, PRIDJEV
MANIČAN, PRIDJEV
TRBONJA, IMENICA
ZAPERKA, IMENICA
KAZIVAN, PRIDJEV
MODERNO, PRILOG
MINIRAN, PRIDJEV
KRAJNIK, IMENICA
BEČANIN, IMENICA
BOŽIĆNI, PRIDJEV
BRUSITI, GLAGOL
RASTROJ, IMENICA
GRIVAST, PRIDJEV
ČETKICA, IMENICA
TIJESAN, PRIDJEV
PLIVATI, GLAGOL
NAGLEĆI, PRILOG
GRDOBAN, PRIDJEV
DINOKAP, IMENICA
ŽUVANIĆ, IMENICA
RAZLIKE, IMENICA
LAKTONI, IMENICA
NAŠINAC, IMENICA
SATANIN, PRIDJEV
RASCVAT, IMENICA
DIMLIJA, IMENICA
TRIOMEN, PRIDJEV
MATIRAN, PRIDJEV
RAZVITI, PRIDJEV
LANUVŠI, PRILOG
DVORSKI, PRIDJEV
SAKRITI, GLAGOL
BALANKA, IMENICA
DELMATI, GLAGOL
OFUCATI, GLAGOL
POTANKI, PRIDJEV
BODLJAŠ, IMENICA
ŠTICUNG, IMENICA
DUŠNICA, IMENICA
STIHIJA, IMENICA
PLAVOOK, PRIDJEV
PUBIČNI, PRIDJEV
MIRISAV, PRIDJEV
VADOZAN, PRIDJEV
KUHARIĆ, IMENICA
RAZLOZA, IMENICA
CERESIO, IMENICA
DOSTAVA, IMENICA
ZAOSTAO, PRIDJEV
OLOVNAT, IMENICA
SATKATI, GLAGOL
AMERIST, IMENICA
NEMOĆNO, PRILOG
PLAČATI, IMENICA
NIKNETI, GLAGOL
UŠPARAN, PRIDJEV
POBIRAN, PRIDJEV
UOČLJIV, PRIDJEV
SMOLINA, IMENICA
ZAPRVŠI, PRILOG
KINIDIN, IMENICA
MIJEŠAN, PRIDJEV
UMJETNO, PRILOG
GUBAVAC, IMENICA
TIJESKI, PRIDJEV
UMOČENO, PRILOG
PRODIKA, IMENICA
GUTLJAJ, IMENICA
ŠTAMPAN, PRIDJEV
ALBANAC, IMENICA
KLASAST, PRIDJEV
JEDARCE, IMENICA
MULTICS, IMENICA
OTVARAČ, IMENICA
LITRENI, PRIDJEV
KNJIŽAN, PRIDJEV
ČASTEĆI, PRILOG
ODNOŠAJ, IMENICA
SKIJATI, GLAGOL
ZRIKATI, IMENICA
ZARINUT, PRIDJEV
KOJEŠTA, ZAMJENICA
NAKAZNO, PRILOG
KAPAVAC, IMENICA
ZASJEĆI, GLAGOL
TREPTAJ, IMENICA
KARATNI, PRIDJEV
RONDATI, GLAGOL
MJEREĆI, PRILOG
ZGREBEC, KRATICA
GNOJITI, GLAGOL
MRAČITI, GLAGOL
ISPRAVE, IMENICA
PIŠKITI, GLAGOL
JAJNICA, IMENICA
ISEJSKI, PRIDJEV
POVIJEN, PRIDJEV
DIPLITI, GLAGOL
POPISNI, PRIDJEV
BOGEČKI, PRIDJEV
LOPTAST, PRIDJEV
SINJSKI, PRIDJEV
PRSNUTI, GLAGOL
OBUČITI, GLAGOL
SJEČIVO, IMENICA
OSTATAN, PRIDJEV
RUŠEVAN, PRIDJEV
SPAVAĆI, PRIDJEV
ŠKOTSKA, IMENICA
ČIPKATI, GLAGOL
ISPRŽEN, PRIDJEV
LAKORUK, PRIDJEV
TRUNUTI, GLAGOL
ZAMJERA, IMENICA
ISCRPAK, IMENICA
ISPAREN, PRIDJEV
TETURAV, PRIDJEV
PRISJED, IMENICA
ŠČEPATI, GLAGOL
LATVIJI, PRIDJEV
KAŠLJAV, PRIDJEV
ZAKUTNI, PRIDJEV
KVARCIT, IMENICA
ZADRŽNI, PRIDJEV
ODRASLI, PRIDJEV
SUNČEVI, PRIDJEV
SIVKAST, PRIDJEV
POSIVIO, PRIDJEV
SVRAČIĆ, IMENICA
JELJCIN, IMENICA
MRIJEST, IMENICA
ŠKRPINA, IMENICA
NIVELIR, IMENICA
DORUČAK, IMENICA
KATKADA, PRILOG
POPISAN, PRIDJEV
UVEZENI, PRIDJEV
DOPEČEN, PRIDJEV
DOVODAN, PRIDJEV
ŽALOBAN, PRIDJEV
UTOLIKO, PRILOG
PAJEZIK, IMENICA
KLICATI, GLAGOL
IZLAZNI, PRIDJEV
UZDRŽAN, PRIDJEV
KLAMPAV, PRIDJEV
STRANKA, IMENICA
DAHOMEJ, IMENICA
JAJAČKI, PRIDJEV
DIJELOM, PRILOG
RAHLOST, IMENICA
MINIBUS, IMENICA
IZGNATI, GLAGOL
UZROČNI, PRIDJEV
SKINUTI, GLAGOL
KAMANJE, IMENICA
BAKTATI, GLAGOL
LICENCA, IMENICA
BASTION, IMENICA
DIABOLO, IMENICA
IZVAGAN, PRIDJEV
PIJANIN, IMENICA
GLAUKOM, IMENICA
LIPIDNI, PRIDJEV
EUROVOC, IMENICA
OSKUDNO, PRILOG
PLOČICA, IMENICA
PREOTET, IMENICA
ZAČEVŠI, PRILOG
RASTVOR, IMENICA
GIZDOST, IMENICA
STAVITI, GLAGOL
GNJESTI, PRIDJEV
TVRDOST, IMENICA
ČUJNOST, IMENICA
NAGORKI, PRIDJEV
PALANAC, IMENICA
POLUTKA, IMENICA
NAMRŠTI, GLAGOL
ZASRATI, GLAGOL
OBZORJE, IMENICA
ČETVERO, PRIDJEV
LARINKS, IMENICA
KAMBRIJ, PRIDJEV
LOGOTIP, IMENICA
ROPTATI, GLAGOL
IZVANJE, IMENICA
DODATNI, PRIDJEV
MIŠOMOR, IMENICA
OTKOVAK, IMENICA
PRSNEJA, IMENICA
STAKLAR, IMENICA
ZBIJENI, PRIDJEV
PLAČITI, GLAGOL
STEPHEN, IMENICA
BLAŽENI, PRIDJEV
ČOBANIN, IMENICA
KONVIKT, IMENICA
MRVIČAK, IMENICA
POKRATA, IMENICA
NAGORIO, PRIDJEV
ISKOČNI, PRIDJEV
ZAGAŠEN, PRIDJEV
MAFIOZA, IMENICA
DIOKSIN, IMENICA
GERHARD, IMENICA
TUŽNIJI, PRIDJEV
PRUGICA, IMENICA
OBRŠĆEN, PRIDJEV
OZARITI, GLAGOL
SUDAREN, PRIDJEV
POSILNI, IMENICA
SUMARNI, PRIDJEV
PREPJEV, IMENICA
TRNASTI, PRIDJEV
HRSKATI, GLAGOL
ZAPUČAK, IMENICA
GLABELA, IMENICA
IBLEROV, PRIDJEV
VEDRICA, IMENICA
DECIBEL, IMENICA
DOVAŽAN, PRIDJEV
LAMBADA, IMENICA
STRASAN, PRIDJEV
PREPONA, IMENICA
RASPEĆE, IMENICA
PROŽEĆI, GLAGOL
NATICAN, PRIDJEV
VIKLERI, IMENICA
KRZNATI, IMENICA
FIBROZA, IMENICA
TROMBIN, IMENICA
TOMESOV, PRIDJEV
POZAUNA, IMENICA
NABIJAN, PRIDJEV
ODLEĐEN, PRIDJEV
DIUREZA, IMENICA
ŽESTINA, IMENICA
ZAGUŠEN, PRIDJEV
REDANJE, IMENICA
UMNOŽNI, PRIDJEV
POROĐAJ, IMENICA
OBRADBA, IMENICA
GLODATI, GLAGOL
TOČKICA, IMENICA
RAZUDBA, IMENICA
PREJAKI, PRIDJEV
ČVORNAT, PRIDJEV
IŠČUPAN, PRIDJEV
PRIZREN, PRIDJEV
SEDMICA, IMENICA
PODUPIT, IMENICA
JEŠNOST, IMENICA
BRBLJIV, PRIDJEV
RAZVOĐE, IMENICA
CRKNUTI, GLAGOL
VERGLEC, IMENICA
RADOBOJ, IMENICA
NEBITAN, PRIDJEV
SIVONJI, PRIDJEV
KOSIJER, IMENICA
KOPRIVA, IMENICA
ŠAPUTAN, PRIDJEV
MILJETI, GLAGOL
ETNOLOG, IMENICA
KOJETKO, ZAMJENICA
OOSPORA, IMENICA
UHODIJA, IMENICA
OPŠIRNO, PRILOG
PORECIV, PRIDJEV
ETIKETA, IMENICA
KAMIKAZ, IMENICA
REKAVŠI, PRILOG
KOVAČIĆ, IMENICA
BARBARI, IMENICA
GUŽVATI, GLAGOL
TERMIKA, IMENICA
PRELJNI, PRIDJEV
ZGRISTI, GLAGOL
MOGRANJ, IMENICA
ČVOKNUT, PRIDJEV
IMOVINA, IMENICA
GRAMZIV, PRIDJEV
PEDIKER, IMENICA
KOMARČA, IMENICA
PLETORA, IMENICA
POBIRAČ, IMENICA
SNIMATI, GLAGOL
POMETAČ, IMENICA
NEPRAVO, PRILOG
ČAKAVAC, IMENICA
GJENERA, IMENICA
RAZUMAN, PRIDJEV
RECIDIV, IMENICA
FRNTAST, PRIDJEV
KLADITI, GLAGOL
TOVNOST, IMENICA
SVLADAN, PRIDJEV
DIPOLAN, PRIDJEV
SRIJETI, GLAGOL
TRPUTAC, IMENICA
ZVIŽDAČ, IMENICA
PALARIĆ, IMENICA
LIJEŠĆE, IMENICA
OGLAVAC, IMENICA
RUŠEVAC, IMENICA
RADMILO, IMENICA
IZOHORA, IMENICA
ČEDNOST, IMENICA
ROTIRAN, PRIDJEV
OTRTITI, GLAGOL
LEŽANJE, IMENICA
RIJEČCA, IMENICA
POVOJAN, PRIDJEV
ŽMIREĆI, PRIDJEV
STEŽUĆI, PRILOG
OGRNUTI, GLAGOL
RAZARAN, PRIDJEV
ISPUŠEN, PRIDJEV
PRAVILO, IMENICA
PRIKLET, PRIDJEV
VRSNOST, IMENICA
DOZNAKA, IMENICA
HEGEMON, IMENICA
ŠKLJOCA, IMENICA
TUŽILAC, IMENICA
OKAMINA, IMENICA
SUVISOK, PRIDJEV
MAURSKI, PRIDJEV
BUGANAC, IMENICA
ZAVIJEK, IMENICA
OMILILO, IMENICA
DENTIST, IMENICA
OBUČELA, IMENICA
PRIMULA, IMENICA
ISMIJAN, PRIDJEV
JANJEVO, IMENICA
KRUŽEĆI, PRILOG
ŽARNICA, IMENICA
SENDVIČ, IMENICA
SIDARCE, IMENICA
PROVENI, PRIDJEV
RAZORNO, PRILOG
ROTAMER, IMENICA
FASADER, IMENICA
KAZUIST, IMENICA
AKACIJA, IMENICA
BOLESNI, PRIDJEV
MANŠETA, IMENICA
DVOJEĆI, PRIDJEV
PADANJE, IMENICA
ZADRŽIV, PRIDJEV
SUVIŠAN, PRIDJEV
RODIVŠI, PRILOG
TRAŽENO, PRILOG
PROCJEN, PRIDJEV
NAVRTKA, IMENICA
UGLJENI, PRIDJEV
ISPRATI, GLAGOL
BUKNUTI, GLAGOL
PUCANJE, IMENICA
ZASPEJA, IMENICA
UPRAVAN, PRIDJEV
COMPASS, KRATICA
UGNUVŠI, PRILOG
ČARAPAR, IMENICA
IZVIJAČ, IMENICA
IZASLAN, PRIDJEV
ZIDNJAK, IMENICA
ISKUŠAN, PRIDJEV
UMUJUĆI, PRIDJEV
TEHNIKA, IMENICA
IMIDSKI, PRIDJEV
SPUŠTAN, PRIDJEV
PODKLAN, PRIDJEV
PIRANKA, IMENICA
ZABATAK, IMENICA
BAVARAC, IMENICA
ZALAHOR, IMENICA
ZAKUPNI, PRIDJEV
HIPOTEZ, IMENICA
NAJPRVI, PRIDJEV
ŠABLONA, IMENICA
PLANJKA, IMENICA
GLETATI, IMENICA
GROFIJA, IMENICA
BITNIJI, PRIDJEV
SUDNICA, IMENICA
KASAČAK, PRIDJEV
POPASTI, GLAGOL
ASIRIJA, IMENICA
TAMBURA, IMENICA
TOTALNO, PRILOG
HERODOV, PRIDJEV
FELJTON, IMENICA
GLUMČIĆ, IMENICA
OTROVNO, PRILOG
POGDJEK, IMENICA
BRANJEN, PRIDJEV
NOVAČEN, PRIDJEV
BOKVICA, IMENICA
ODBJEĆI, GLAGOL
ISPRAVA, IMENICA
SAOPĆEN, PRIDJEV
DRIJETI, GLAGOL
ZASTAVA, IMENICA
USKRSLI, PRIDJEV
LJUTIKA, IMENICA
DRUŽEĆI, PRIDJEV
MARIVŠI, PRILOG
MILOVAN, PRIDJEV
SJAJNIK, IMENICA
URUGVAJ, IMENICA
NIJANSA, IMENICA
BROJEĆI, PRIDJEV
PREFIKS, IMENICA
OPSEŽAN, PRIDJEV
UPRESTI, GLAGOL
ODSUKAN, PRIDJEV
SASIJĆI, GLAGOL
GNJECAV, PRIDJEV
ACTUATE, IMENICA
ISTRVEN, PRIDJEV
GVOŽĐAR, IMENICA
ZGADITI, GLAGOL
SVIJENA, PRIDJEV
PRKOSIT, PRIDJEV
VATRICA, IMENICA
LITERAT, IMENICA
SPARENI, PRIDJEV
SJENICA, IMENICA
NORFOLK, IMENICA
VOLJICA, IMENICA
MUSAVAC, IMENICA
KATENIN, IMENICA
URODITI, GLAGOL
FUNTITI, GLAGOL
NITASTI, PRIDJEV
KOZINAC, IMENICA
MILANKA, IMENICA
STOŽNIK, IMENICA
DOKIRAN, PRIDJEV
PUŽENJE, IMENICA
PFUNDOV, PRIDJEV
RADOVAN, IMENICA
FJAKAST, PRIDJEV
JAGLIKA, IMENICA
UKRADAK, IMENICA
BROĆIKA, IMENICA
ZAMATAN, PRIDJEV
REGATAN, PRIDJEV
KREZUBI, PRIDJEV
ULAZITE, IMENICA
LUTKICA, IMENICA
PARETOV, PRIDJEV
TOPLINK, IMENICA
TURISTA, IMENICA
MATUŠIĆ, IMENICA
LUPNUTI, PRIDJEV
POSAĐEN, PRIDJEV
PRESUTA, IMENICA
IZUZECI, IMENICA
DARIJEV, PRIDJEV
JANJICA, IMENICA
JEDINČE, IMENICA
PROVEDO, IMENICA
ZLARINA, IMENICA
PRODRTA, IMENICA
OSJEĆAN, PRIDJEV
LEŽAJNI, PRIDJEV
KOLEGIJ, IMENICA
TRAKIJA, IMENICA
MARIČIĆ, IMENICA
ODVESTI, GLAGOL
PEROVIĆ, IMENICA
TOVARNI, PRIDJEV
OPALITI, GLAGOL
JAĐAHAN, PRIDJEV
IZDISAN, PRIDJEV
SNAZITI, GLAGOL
KRUGLJA, IMENICA
KOVAČKI, PRIDJEV
NAPAJAN, PRIDJEV
ULOŽITI, GLAGOL
ŽUMANCA, IMENICA
OTPREMA, IMENICA
USTASTI, GLAGOL
PISMENO, IMENICA
ŠTURIJI, PRIDJEV
PUPANJE, IMENICA
TROMBON, IMENICA
PONIKAO, PRIDJEV
KOZMIST, IMENICA
LUTNJAŠ, IMENICA
NATRPAN, PRIDJEV
TETKIST, IMENICA
STRESEN, PRIDJEV
NAUTIKA, IMENICA
BAKLAVA, IMENICA
KALANJE, IMENICA
USIRITI, GLAGOL
VITEŠKI, PRIDJEV
PRUGAST, PRIDJEV
PREPAST, IMENICA
SUŠILAC, IMENICA
GROZDOV, PRIDJEV
MONOFAG, IMENICA
ZAGRADA, IMENICA
ZAVJESA, IMENICA
KREMICA, IMENICA
ODUMRLI, PRIDJEV
TAMPERE, IMENICA
SIKNUTI, GLAGOL
OKSIDNI, PRIDJEV
JAPANKA, IMENICA
NAUČITI, GLAGOL
PIOGENI, PRIDJEV
PODLOST, IMENICA
KANADER, IMENICA
KOKSARA, IMENICA
AGRAMER, IMENICA
STARTAN, PRIDJEV
UKROTIV, PRIDJEV
ŠLJIVIN, PRIDJEV
IREALAN, PRIDJEV
FIŽULIĆ, IMENICA
ĆAPORAK, IMENICA
BRADATI, PRIDJEV
ILOVITI, GLAGOL
OLAKOST, IMENICA
SAMOVAR, IMENICA
SLIJEDU, PRIDJEV
UMATATI, GLAGOL
OBRAVŠI, PRILOG
MATILDA, IMENICA
BRITSKI, PRIDJEV
DOVRŠTI, GLAGOL
KANELON, IMENICA
NEČUVEN, PRIDJEV
KOŽNATI, PRIDJEV
IZDRŽAN, PRIDJEV
PLAKODA, IMENICA
BLOKETA, IMENICA
LOGORAŠ, IMENICA
BLIJEŠT, PRIDJEV
KUPASTI, PRIDJEV
OGULJEN, PRIDJEV
SRBOFOB, IMENICA
IZRAVNI, PRIDJEV
POKAZNI, PRIDJEV
KARENCA, IMENICA
BOGOMIL, IMENICA
MAMIĆEV, PRIDJEV
OKRPITI, GLAGOL
POGINUO, PRIDJEV
PREPREG, IMENICA
KARAMEL, IMENICA
SLAVJAN, PRIDJEV
GNJURAK, IMENICA
MIZERAN, PRIDJEV
SATIRIK, IMENICA
BRŠLJAN, IMENICA
OKLOPNO, PRILOG
BENGAZI, IMENICA
JAROZIT, IMENICA
PRESJEK, IMENICA
BLOKADA, IMENICA
CIEPATI, GLAGOL
NEUKOST, IMENICA
PRKAČIN, IMENICA
PRVOTAN, PRIDJEV
ŠERIJAT, IMENICA
DVOVRHI, PRIDJEV
LEĐENJE, IMENICA
BIVANJE, IMENICA
RUJNIJI, PRIDJEV
TURGORA, IMENICA
SLOVČAN, PRIDJEV
SIONSKI, PRIDJEV
UGOJITI, GLAGOL
OBADATI, GLAGOL
HONORAR, IMENICA
IKEBANA, IMENICA
KINOLIN, IMENICA
KOBRITI, GLAGOL
HALOFIT, IMENICA
NAMATAN, PRIDJEV
ANIMIST, IMENICA
UHODATI, GLAGOL
ZRINSKI, PRIDJEV
PJENAST, PRIDJEV
SNIZITI, GLAGOL
PRLJAVA, IMENICA
SREDINA, IMENICA
VIŠEPUT, PRILOG
TRUNITI, GLAGOL
TRIREMA, IMENICA
ZAHVALA, IMENICA
LJUBITI, GLAGOL
UKALJAN, PRIDJEV
OZRAČJA, IMENICA
TINITUS, IMENICA
SANJIVO, IMENICA
DOLENEC, IMENICA
IMISIJE, IMENICA
OTPARAK, IMENICA
UKOSITI, GLAGOL
PALADIN, IMENICA
BOŽIĆNI, PRIDJEV
DODATAN, PRIDJEV
PRAĆENI, PRIDJEV
MOJSIJE, IMENICA
ISPIPAN, PRIDJEV
OBRIJAN, PRIDJEV
OBLAČNO, PRILOG
HELIČAN, PRIDJEV
SLOVNIK, IMENICA
UMOTATI, GLAGOL
MODELAR, IMENICA
LAMANJE, IMENICA
VRTANJE, IMENICA
STIPICA, IMENICA
UKIDATI, GLAGOL
PRESPOJ, IMENICA
NAMOTAN, PRIDJEV
FEROTIK, IMENICA
PONUKAN, PRIDJEV
IZRICAN, PRIDJEV
STUDENI, IMENICA
VRUĆINA, IMENICA
DŽUNGLA, IMENICA
BRENNER, IMENICA
PSOVATI, GLAGOL
PUDLICA, IMENICA
SOPĆITI, GLAGOL
NABOVŠI, PRILOG
SKRESAN, PRIDJEV
ZVEČATI, GLAGOL
IZVOĐAČ, IMENICA
ZGRUDAN, PRIDJEV
BREGANA, IMENICA
RIFTSKI, PRIDJEV
NEBOJAN, PRIDJEV
NALUPAN, PRIDJEV
NEOPREZ, IMENICA
TEORIJA, IMENICA
EEUROPA, IMENICA
GLASIJA, IMENICA
SMRDEĆI, PRILOG
TUTNUTI, GLAGOL
GOSTION, IMENICA
ŠTRUKLI, IMENICA
CIZELER, IMENICA
KLUPSKI, PRIDJEV
KISIKOV, PRIDJEV
POVORKA, IMENICA
BUKETIĆ, IMENICA
POHVALA, IMENICA
ADAPTOR, IMENICA
BAČVICA, IMENICA
GULENJE, IMENICA
KORNJAŠ, IMENICA
ZAKLANA, IMENICA
PIROVAC, IMENICA
GNJETAO, IMENICA
ŠTRITOF, IMENICA
RIJEČAK, IMENICA
UMIRITI, GLAGOL
GRINTAV, PRIDJEV
OKULIST, IMENICA
IZRIČAN, PRIDJEV
PILJEĆI, PRILOG
TEHERAN, IMENICA
LAŽIRAN, PRIDJEV
KOKARDA, IMENICA
ONIZATI, GLAGOL
ŽALIVŠI, PRILOG
VELEBNI, PRIDJEV
KLIZITI, GLAGOL
FOLIKUL, IMENICA
RITNUTI, GLAGOL
KRALJEV, PRIDJEV
ČISTILO, IMENICA
PRETRĆI, GLAGOL
SJEĐATI, GLAGOL
OPHODNI, PRIDJEV
JETKOĆA, IMENICA
MELANIN, IMENICA
UPALITI, GLAGOL
ZEZNUTI, GLAGOL
HLAČICE, IMENICA
